ProductName,Price,Rate,Review,Summary
"Candes 12 L Room/Personal Air Cooler?ÿ?ÿ(White, Black, Elegant High Speed-Honey Comb Cooling Pad & Ice Chamber, Blower)","ƒ??3,999",5,Super!,Great cooler.. excellent air flow and for this price. It's so amazing and unbelievable.Just love it ƒ?‹?
"Candes 60 L Room/Personal Air Cooler?ÿ?ÿ(White, Black, CRETA)","ƒ??8,999",5,Great product,Beautiful product good material and perfectly working
"MAHARAJA WHITELINE 65 L Desert Air Cooler?ÿ?ÿ(White, Grey, Rambo Grey / AC-303)","ƒ??7,999",5,Wonderful,The best poduct that i bought from flifkart it works superb like ac and price is also reasonable only rs 8698
"Crompton 75 L Desert Air Cooler?ÿ?ÿ(White, Teal, ACGC-DAC751)","ƒ??9,999",5,Simply awesome,"it's really worth every single penny. it works like one ton AC provided that your room has proper ventilation.  I generally keep cooler near to window so that it can pull fresh air from outside and as a result I get very cool air. one more suggestion,  please don't buy cooler which are equipped with a blower fan. Always go for the cooler equipped with metal fan like this one.  In one word, this Compton cooler is Amazing. if you find the review helpful, please thumps up. Happy summer! ????"
"colcum Collapsible Wardrobe 88130 Micro Fiber Collapsible WardrobeÂ Â (Finish Color - Maroon, DIY(Do-It-Yourself))","â‚¹1,097",5,Brilliant,"This wardrobe is very useful . The arrangement of clothes in the wardrobe is super.value for Money. Istallation is little tougher and once you get the way , it must be easier. 1 road, 2 connectors are extra in the packet..Overall the product is good and worth for money. Thank you Flipkart . ðŸ˜Š"
"FLIPZON Baby 6 Shelve Unbreakable Material PVC Collapsible WardrobeÂ Â (Finish Color - Blue, DIY(Do-It-Yourself))","â‚¹1,095",5,Must buy!,Very Nice Product with Great Material.Don't hesitate more . It's very good & very best material wise & quality wise very very good.
"S . K Store Carbon Steel Collapsible WardrobeÂ Â (Finish Color - Black, DIY(Do-It-Yourself))",â‚¹655,5,Mind-blowing purchase,"Thank you flipkart. I am very much satisfied with this product its a genuine feedback enough storage good, quality product, easy to install and i get one extra connector also.Must buy this product."
"Furnifry Wooden TV Entertainment Unit/Wall Set Top Box Shelf Stand/TV Unit Bedroom/ Engineered Wood TV Entertainment UnitÂ Â (Finish Color - Black and Walnut, DIY(Do-It-Yourself))","â‚¹2,969",4,Worth the money,"Delivery -: it happened before estimated Delivery Date. Product Quality -: it is outstanding at this cost, value for money.Packing -: Packing is just Perfect. Other Review -: The side shelves are really very small in size. The fittings of Side panel is perfect. Fittings of Main panel is not so nice, the screws for Main Panel is really small. Suggestion -: Please improve fittings of Main Panel, need some support in Middle too, Thick screw required. Over all it's an outstanding produc..."
"Zofiy 6 Layer Metal Frame Clothes Organizer - Maroon PP Collapsible WardrobeÂ Â (Finish Color - Maroon, DIY(Do-It-Yourself))",â‚¹655,5,Awesome,Very nice best quality
"POOWEREST Carbon Steel Collapsible WardrobeÂ Â (Finish Color - BLUE, DIY(Do-It-Yourself))",â‚¹495,1,Don't waste your money,"Very bed product fitting issues, not carry weight. I suggests everyone please don't buy this product."
